host,guest,odds,result
圣安东尼奥马刺,新奥尔良鹈鹕,-12.5,赢

印第安纳步行者,华盛顿奇才,-5.5,输

明尼苏达森林狼,菲尼克斯太阳,-5.5,赢

俄克拉荷马雷霆,亚特兰大老鹰,-2.5,输

芝加哥公牛,底特律活塞,-2.5,赢

丹佛掘金,达拉斯独行侠,-8.5,赢

费城76人,新奥尔良鹈鹕,3.5,输

夏洛特黄蜂,洛杉矶湖人,-8.5,输

多伦多猛龙,布鲁克林篮网队,-15.5,输

纽约尼克斯,印第安纳步行者,-5.5,赢

迈阿密热火,奥兰多魔术,-2.5,输

休斯顿火箭,圣安东尼奥马刺,0.0,输

孟菲斯灰熊,波士顿凯尔特人,2.5,输

密尔沃基雄鹿,克里夫兰骑士,3.5,输

金州勇士,犹他爵士,-11.5,赢

洛杉矶快船,丹佛掘金,-8.5,赢

萨克拉门托国王,波特兰开拓者,0.0,赢

克里夫兰骑士,密尔沃基雄鹿,-5.5,赢

亚特兰大老鹰,明尼苏达森林狼,-3.5,输

底特律活塞,孟菲斯灰熊,-6.5,输

芝加哥公牛,华盛顿奇才,-4.5,输

新奥尔良鹈鹕,俄克拉荷马雷霆,1.5,输

犹他爵士,萨克拉门托国王,-6.5,输

菲尼克斯太阳,休斯顿火箭,6.5,输

波特兰开拓者,达拉斯独行侠,-5.5,输

布鲁克林篮网队,金州勇士,12.5,输

纽约尼克斯,奥兰多魔术,-5.5,赢

迈阿密热火,洛杉矶湖人,-4.5,赢

印第安纳步行者,波士顿凯尔特人,0.0,输

洛杉矶快船,圣安东尼奥马刺,1.5,赢

夏洛特黄蜂,芝加哥公牛,-4.5,赢

奥兰多魔术,洛杉矶湖人,-5.5,赢

克里夫兰骑士,布鲁克林篮网队,-15.5,赢

波士顿凯尔特人,俄克拉荷马雷霆,-4.5,输

底特律活塞,金州勇士,7.5,赢

明尼苏达森林狼,萨克拉门托国王,-4.5,输

密尔沃基雄鹿,华盛顿奇才,-2.5,赢

新奥尔良鹈鹕,迈阿密热火,-5.5,输

孟菲斯灰熊,休斯顿火箭,3.5,赢

犹他爵士,多伦多猛龙,1.5,输

菲尼克斯太阳,费城76人,-4.5,赢

丹佛掘金,亚特兰大老鹰,-4.5,输

波特兰开拓者,圣安东尼奥马刺,2.5,输

洛杉矶快船,达拉斯独行侠,-4.5,输

纽约尼克斯,波士顿凯尔特人,2.5,输

克里夫兰骑士,金州勇士,2.5,赢

圣安东尼奥马刺,芝加哥公牛,-9.5,赢

俄克拉荷马雷霆,明尼苏达森林狼,-3.5,赢

洛杉矶湖人,洛杉矶快船,3.5,赢

华盛顿奇才,密尔沃基雄鹿,-3.5,赢

奥兰多魔术,孟菲斯灰熊,2.5,赢

布鲁克林篮网队,夏洛特黄蜂,6.5,赢

底特律活塞,克里夫兰骑士,-4.5,赢

明尼苏达森林狼,亚特兰大老鹰,0.0,赢

芝加哥公牛,印第安纳步行者,-1.5,赢

休斯顿火箭,菲尼克斯太阳,-13.5,赢

新奥尔良鹈鹕,达拉斯独行侠,-3.5,赢

波特兰开拓者,多伦多猛龙,6.5,赢

萨克拉门托国王,费城76人,-8.5,输

洛杉矶快船,丹佛掘金,3.5,输

迈阿密热火,俄克拉荷马雷霆,3.5,输

波士顿凯尔特人,孟菲斯灰熊,-6.5,赢

达拉斯独行侠,休斯顿火箭,5.5,输

洛杉矶湖人,犹他爵士,4.5,赢

华盛顿奇才,印第安纳步行者,-4.5,赢

奥兰多魔术,夏洛特黄蜂,3.5,输

亚特兰大老鹰,纽约尼克斯,-4.5,输

底特律活塞,密尔沃基雄鹿,-3.5,输

新奥尔良鹈鹕,洛杉矶快船,-1.5,赢

芝加哥公牛,布鲁克林篮网队,-9.5,输

圣安东尼奥马刺,菲尼克斯太阳,-12.5,赢

丹佛掘金,明尼苏达森林狼,-3.5,输

波特兰开拓者,萨克拉门托国王,0.0,赢

金州勇士,多伦多猛龙,-9.5,赢

夏洛特黄蜂,迈阿密热火,-5.5,赢

克里夫兰骑士,波士顿凯尔特人,-5.5,赢

孟菲斯灰熊,俄克拉荷马雷霆,-2.5,赢

犹他爵士,费城76人,-13.5,赢

菲尼克斯太阳,多伦多猛龙,8.5,赢

洛杉矶湖人,达拉斯独行侠,-3.5,输

印第安纳步行者,芝加哥公牛,-4.5,赢

华盛顿奇才,布鲁克林篮网队,-8.5,赢

波士顿凯尔特人,迈阿密热火,-8.5,输

新奥尔良鹈鹕,纽约尼克斯,-2.5,赢

亚特兰大老鹰,底特律活塞,-3.5,赢

明尼苏达森林狼,密尔沃基雄鹿,-1.5,赢

休斯顿火箭,洛杉矶快船,-9.5,赢

圣安东尼奥马刺,波特兰开拓者,-10.5,赢

丹佛掘金,费城76人,-11.5,输

金州勇士,达拉斯独行侠,-17.5,输

萨克拉门托国王,孟菲斯灰熊,0.0,输

夏洛特黄蜂,克里夫兰骑士,3.5,输

芝加哥公牛,密尔沃基雄鹿,-4.5,输

犹他爵士,菲尼克斯太阳,-12.5,输

俄克拉荷马雷霆,洛杉矶快船,-9.5,赢

休斯顿火箭,纽约尼克斯,-13.5,输

迈阿密热火,底特律活塞,6.5,输

印第安纳步行者,奥兰多魔术,-5.5,赢

